"filename", "language", "JSON", "JSON with Comments", "C#", "TypeScript", "HTML", "Database", "CSS", "Markdown", "XML", "comment", "blank", "total"
"c:\Users\k1212\Documents\FamilyApp\API\Intrfaces\IMessageRepository.cs", "C#", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\k1212\Documents\FamilyApp\API\Intrfaces\IPhotoService.cs", "C#", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\k1212\Documents\FamilyApp\API\Intrfaces\ITokenService.cs", "C#", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\k1212\Documents\FamilyApp\API\Intrfaces\IUnitOfWork.cs", "C#", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\k1212\Documents\FamilyApp\API\Intrfaces\IUserRepository.cs", "C#", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\k1212\Documents\FamilyApp\API\Middleware\ExceptionMiddleware.cs", "C#", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 10, 45
"c:\Users\k1212\Documents\FamilyApp\API\Program.cs", "C#", 0, 0, 42, 0, 0, 0, 0, 0, 0, 2, 14, 58
"c:\Users\k1212\Documents\FamilyApp\API\Properties\launchSettings.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\k1212\Documents\FamilyApp\API\Services\PhotoService.cs", "C#", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 8, 49
"c:\Users\k1212\Documents\FamilyApp\API\Services\TokenService.cs", "C#", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 12, 50
"c:\Users\k1212\Documents\FamilyApp\API\SignalR\ListsHub.cs", "C#", 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 33, 120
"c:\Users\k1212\Documents\FamilyApp\API\SignalR\MessageHub.cs", "C#", 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 31, 122
"c:\Users\k1212\Documents\FamilyApp\API\SignalR\PresenceHub.cs", "C#", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 9, 37
"c:\Users\k1212\Documents\FamilyApp\API\SignalR\PresenceTracker.cs", "C#", 0, 0, 55, 0, 0, 0, 0, 0, 0, 1, 13, 69
"c:\Users\k1212\Documents\FamilyApp\API\appsettings.Development.json", "JSON", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\k1212\Documents\FamilyApp\API\familyapp.db", "Database", 0, 0, 0, 0, 0, 770, 0, 0, 0, 0, 13, 783
"c:\Users\k1212\Documents\FamilyApp\client\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 14, 28
"c:\Users\k1212\Documents\FamilyApp\client\angular.json", "JSON", 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 115
"c:\Users\k1212\Documents\FamilyApp\client\package-lock.json", "JSON", 12944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12945
"c:\Users\k1212\Documents\FamilyApp\client\package.json", "JSON", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 57
"c:\Users\k1212\Documents\FamilyApp\client\src\app\_directives\has-role.directive.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 5, 30
"c:\Users\k1212\Documents\FamilyApp\client\src\app\_forms\date-picker\date-picker.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\k1212\Documents\FamilyApp\client\src\app\_forms\date-picker\date-picker.component.html", "HTML", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 14
"c:\Users\k1212\Documents\FamilyApp\client\src\app\_forms\date-picker\date-picker.component.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 6, 35
"c:\Users\k1212\Documents\FamilyApp\client\src\app\_forms\text-input\text-input.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\k1212\Documents\FamilyApp\client\src\app\_forms\text-input\text-input.component.html", "HTML", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 20
"c:\Users\k1212\Documents\FamilyApp\client\src\app\_forms\text-input\text-input.component.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 5, 28
"c:\Users\k1212\Documents\FamilyApp\client\src\app\_guards\admin.guard.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\k1212\Documents\FamilyApp\client\src\app\_guards\auth.guard.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\k1212\Documents\FamilyApp\client\src\app\_guards\prevent-unsaved-changes.guard.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\k1212\Documents\FamilyApp\client\src\app\_interceptors\error.interceptor.ts", "TypeScript", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 4, 57
"c:\Users\k1212\Documents\FamilyApp\client\src\app\_interceptors\jwt.interceptor.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 4, 31
"c:\Users\k1212\Documents\FamilyApp\client\src\app\_interceptors\loading.interceptor.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 5, 27
"c:\Users\k1212\Documents\FamilyApp\client\src\app\_models\family-list.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\k1212\Documents\FamilyApp\client\src\app\_models\family-member.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\k1212\Documents\FamilyApp\client\src\app\_models\family.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\k1212\Documents\FamilyApp\client\src\app\_models\familyParams.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\k1212\Documents\FamilyApp\client\src\app\_models\group.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\k1212\Documents\FamilyApp\client\src\app\_models\invitation.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\k1212\Documents\FamilyApp\client\src\app\_models\list-item.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\k1212\Documents\FamilyApp\client\src\app\_models\member.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\k1212\Documents\FamilyApp\client\src\app\_models\message.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\k1212\Documents\FamilyApp\client\src\app\_models\pagination.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\k1212\Documents\FamilyApp\client\src\app\_models\photo.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\k1212\Documents\FamilyApp\client\src\app\_models\shared.module.ts", "TypeScript", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 2, 47
"c:\Users\k1212\Documents\FamilyApp\client\src\app\_models\user.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\k1212\Documents\FamilyApp\client\src\app\_models\userParams.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\k1212\Documents\FamilyApp\client\src\app\_resolvers\family-detailed.resolver.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 3, 12
"c:\Users\k1212\Documents\FamilyApp\client\src\app\_resolvers\family-member-detailed.resolver.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\k1212\Documents\FamilyApp\client\src\app\_resolvers\member-detailed.resolver.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\k1212\Documents\FamilyApp\client\src\app\_services\account.service.ts", "TypeScript", 0, 0, 0, 112, 0, 0, 0, 0, 0, 3, 17, 132
"c:\Users\k1212\Documents\FamilyApp\client\src\app\_services\admin.service.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\k1212\Documents\FamilyApp\client\src\app\_services\busy.service.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 5, 29
"c:\Users\k1212\Documents\FamilyApp\client\src\app\_services\confirm.service.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 4, 36
"c:\Users\k1212\Documents\FamilyApp\client\src\app\_services\customRouteReuseStrategy.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\k1212\Documents\FamilyApp\client\src\app\_services\family.service.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 9, 41
"c:\Users\k1212\Documents\FamilyApp\client\src\app\_services\invitation.service.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 8, 40
"c:\Users\k1212\Documents\FamilyApp\client\src\app\_services\list.service.ts", "TypeScript", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 7, 45
"c:\Users\k1212\Documents\FamilyApp\client\src\app\_services\members.service.ts", "TypeScript", 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 21, 107
"c:\Users\k1212\Documents\FamilyApp\client\src\app\_services\message.service.ts", "TypeScript", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 13, 75
"c:\Users\k1212\Documents\FamilyApp\client\src\app\_services\paginationHelper.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 5, 29
"c:\Users\k1212\Documents\FamilyApp\client\src\app\_services\presence.service.ts", "TypeScript", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 10, 60
"c:\Users\k1212\Documents\FamilyApp\client\src\app\_services\user-families.service.ts", "TypeScript", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 13, 74
"c:\Users\k1212\Documents\FamilyApp\client\src\app\admin\admin-panel\admin-panel.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\k1212\Documents\FamilyApp\client\src\app\admin\admin-panel\admin-panel.component.html", "HTML", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 10
"c:\Users\k1212\Documents\FamilyApp\client\src\app\admin\admin-panel\admin-panel.component.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\k1212\Documents\FamilyApp\client\src\app\admin\photo-management\photo-management.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\k1212\Documents\FamilyApp\client\src\app\admin\photo-management\photo-management.component.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\k1212\Documents\FamilyApp\client\src\app\admin\photo-management\photo-management.component.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\k1212\Documents\FamilyApp\client\src\app\admin\user-management\user-management.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\k1212\Documents\FamilyApp\client\src\app\admin\user-management\user-management.component.html", "HTML", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 1, 19
"c:\Users\k1212\Documents\FamilyApp\client\src\app\admin\user-management\user-management.component.ts", "TypeScript", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 8, 63
"c:\Users\k1212\Documents\FamilyApp\client\src\app\app-routing.module.ts", "TypeScript", 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 3, 61
"c:\Users\k1212\Documents\FamilyApp\client\src\app\app.component.css", "CSS", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 1, 20
"c:\Users\k1212\Documents\FamilyApp\client\src\app\app.component.html", "HTML", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 5, 15
"c:\Users\k1212\Documents\FamilyApp\client\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 5, 30
"c:\Users\k1212\Documents\FamilyApp\client\src\app\app.component.ts", "TypeScript", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 7, 48
"c:\Users\k1212\Documents\FamilyApp\client\src\app\app.module.ts", "TypeScript", 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 4, 121
"c:\Users\k1212\Documents\FamilyApp\client\src\app\errors\not-found\not-found.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\k1212\Documents\FamilyApp\client\src\app\errors\not-found\not-found.component.html", "HTML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\k1212\Documents\FamilyApp\client\src\app\errors\not-found\not-found.component.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\k1212\Documents\FamilyApp\client\src\app\errors\server-error\server-error.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\k1212\Documents\FamilyApp\client\src\app\errors\server-error\server-error.component.html", "HTML", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 15
"c:\Users\k1212\Documents\FamilyApp\client\src\app\errors\server-error\server-error.component.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 5, 20
"c:\Users\k1212\Documents\FamilyApp\client\src\app\errors\test-error\test-error.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
